iter	Passed	Remaining
0	1	145
1	3	167
2	5	166
3	6	153
4	8	161
5	10	168
6	12	169
7	14	167
8	16	164
9	17	161
10	19	160
11	21	156
12	23	154
13	24	152
14	26	150
15	28	148
16	30	147
17	32	147
18	34	145
19	35	142
20	36	138
21	38	137
22	40	136
23	42	134
24	43	131
25	45	129
26	47	128
27	49	126
28	50	124
29	52	122
30	54	120
31	55	118
32	57	116
33	59	114
34	60	113
35	62	111
36	64	110
37	66	108
38	68	107
39	70	105
40	71	103
41	72	99
42	73	98
43	75	96
44	77	95
45	79	93
46	81	91
47	83	90
48	84	87
49	86	86
50	88	85
51	90	83
52	92	81
53	93	79
54	94	77
55	96	75
56	98	74
57	99	72
58	101	70
59	102	68
60	104	66
61	105	64
62	107	63
63	109	61
64	110	59
65	112	57
66	113	56
67	115	54
68	116	52
69	118	50
70	119	48
71	121	47
72	122	45
73	123	43
74	125	41
75	126	40
76	128	38
77	129	36
78	130	34
79	132	33
80	133	31
81	135	29
82	136	27
83	137	26
84	138	24
85	139	22
86	141	21
87	142	19
88	143	17
89	144	16
90	145	14
91	146	12
92	148	11
93	149	9
94	150	7
95	151	6
96	152	4
97	153	3
98	154	1
99	155	0
